,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
213493,18020,"Columbus, IN",4,IN,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,49110,0,1000,1,,,26.03,54140,0.8,11.86,15.09,20.75,29.61,46.39,24670,31390,43160,61580,96500,,
213494,18140,"Columbus, OH",4,OH,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,1060610,0,1000,1,,,28.75,59800,0.3,12.83,16.08,22.42,35.29,49.86,26690,33440,46630,73390,103720,,
213495,18580,"Corpus Christi, TX",4,TX,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,182330,0,1000,1,,,24.42,50790,0.7,10.5,13.38,18.43,29.14,43.14,21840,27830,38340,60600,89720,,
213496,18700,"Corvallis, OR",4,OR,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,36910,0,1000,1,,,31.34,65190,0.6,13.96,16.77,23.38,37.91,58.39,29030,34880,48630,78840,121460,,
213497,18880,"Crestview-Fort Walton Beach-Destin, FL",4,FL,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,118990,0,1000,1,,,26.14,54370,0.5,11.56,14.16,18.99,30.26,48.07,24040,29450,39490,62940,99980,,
213498,19060,"Cumberland, MD-WV",4,MD,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,36460,0,1000,1,,,24.88,51740,0.6,12.5,13.92,19.04,29.23,41.93,26000,28960,39600,60790,87210,,
213499,19100,"Dallas-Fort Worth-Arlington, TX",4,TX,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,3804710,0,1000,1,,,29.41,61160,0.5,11.92,15.11,22.29,35.17,53.54,24790,31420,46360,73160,111370,,
213500,19140,"Dalton, GA",4,GA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,64450,0,1000,1,,,23.7,49300,0.8,11.23,14.64,18.07,25.67,37.91,23360,30440,37590,53400,78850,,
213501,19180,"Danville, IL",4,IL,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,25700,0.1,1000,1,,,24.61,51190,0.6,12.64,14.84,20.45,29,39.8,26290,30870,42540,60320,82780,,
213502,19300,"Daphne-Fairhope-Foley, AL",4,AL,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,78640,0,1000,1,,,20.64,42920,0.7,9.64,11.7,16.15,23.68,35.08,20050,24340,33600,49250,72970,,
213503,19340,"Davenport-Moline-Rock Island, IA-IL",4,IA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,176540,0,1000,1,,,26.07,54230,0.3,12.07,14.67,20.9,30.64,45.22,25110,30500,43470,63740,94070,,
213504,19380,"Dayton, OH",4,OH,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,363200,0,1000,1,,,27.52,57240,0.4,11.7,14.88,21.7,33.18,48.83,24340,30940,45130,69010,101560,,
213505,19460,"Decatur, AL",4,AL,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,56560,0,1000,1,,,24.15,50240,0.6,10.44,13.66,18.7,29.14,42.76,21720,28410,38890,60610,88950,,
213506,19500,"Decatur, IL",4,IL,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,45550,0,1000,1,,,28.35,58960,0.6,13.01,16.21,22.53,34.15,48.34,27060,33730,46870,71030,100550,,
213507,19660,"Deltona-Daytona Beach-Ormond Beach, FL",4,FL,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,206340,0,1000,1,,,22.93,47680,0.7,10.97,13.55,17.36,25.69,37.74,22810,28190,36100,53440,78500,,
213508,19740,"Denver-Aurora-Lakewood, CO",4,CO,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,1551060,0,1000,1,,,34.52,71790,0.4,15.18,18.18,26.01,40.3,63.64,31570,37820,54110,83830,132360,,
213509,19780,"Des Moines-West Des Moines, IA",4,IA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,371110,0,1000,1,,,28.82,59950,0.5,13.05,16.36,23.16,34.42,49.85,27150,34040,48170,71580,103680,,
213510,19820,"Detroit-Warren-Dearborn, MI",4,MI,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,1866500,0,1000,1,,,29.81,62000,0.3,13.46,16.65,23.08,36.44,51.27,27990,34620,48000,75780,106640,,
213511,20020,"Dothan, AL",4,AL,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,58000,0,1000,1,,,21.26,44220,0.7,9.32,11.78,16.22,23.71,36.09,19390,24490,33740,49320,75070,,
213512,20100,"Dover, DE",4,DE,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,65690,0,1000,1,,,24.9,51790,0.5,11.6,14.32,19.64,29.39,41.55,24130,29780,40850,61130,86420,,
213513,20220,"Dubuque, IA",4,IA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,57520,0,1000,1,,,25.52,53080,0.5,12.22,15.67,21.4,29.5,41.26,25420,32590,44510,61360,85830,,
213514,20260,"Duluth, MN-WI",4,MN,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,121950,0.1,1000,1,,,26.45,55020,0.4,12.93,15.48,22.01,31.33,42.78,26890,32210,45770,65170,88980,,
213515,20500,"Durham-Chapel Hill, NC",4,NC,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,327690,0,1000,1,,,34.48,71720,0.4,13.26,17.41,26.05,40.35,64.73,27570,36210,54180,83930,134630,,
213516,20700,"East Stroudsburg, PA",4,PA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,54460,0,1000,1,,,23.87,49650,0.6,10.9,13.8,18.77,28.74,40.7,22670,28700,39050,59770,84660,,
213517,20740,"Eau Claire, WI",4,WI,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,82810,0,1000,1,,,25.74,53540,0.4,12.09,15.08,20.76,29.26,40.92,25150,31360,43170,60860,85120,,
213518,20940,"El Centro, CA",4,CA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,62520,0.1,1000,1,,,26.23,54570,0.7,14.44,15.32,18.36,31.25,49.72,30040,31870,38200,65000,103420,,
213519,21060,"Elizabethtown-Fort Knox, KY",4,KY,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,51920,0,1000,1,,,23.27,48400,0.5,10.73,13.84,18.77,28.24,39.73,22320,28790,39030,58750,82630,,
213520,21140,"Elkhart-Goshen, IN",4,IN,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,142190,0.1,1000,1,,,25.46,52950,0.9,13.88,17.08,21.62,29.03,40.67,28860,35520,44970,60370,84590,,
213521,21300,"Elmira, NY",4,NY,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,33780,0.1,1000,1,,,26.3,54710,0.9,13.63,15.33,20.78,30.14,40.61,28350,31890,43220,62700,84470,,
213522,21340,"El Paso, TX",4,TX,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,316110,0,1000,1,,,21.27,44250,0.5,9.45,11.56,16.43,25.32,38,19660,24050,34180,52660,79040,,
213523,21420,"Enid, OK",4,OK,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,23160,0.1,1000,1,,,21.82,45380,0.8,10.18,13.09,17.23,24.64,37.77,21170,27230,35830,51250,78550,,
213524,21500,"Erie, PA",4,PA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,117080,0,1000,1,,,23.37,48610,0.5,10.83,13.65,18.22,28.05,38.92,22520,28390,37900,58340,80950,,
213525,21660,"Eugene, OR",4,OR,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,153570,0,1000,1,,,27.09,56340,0.5,13.9,16.44,21.38,30.58,47.22,28910,34200,44470,63610,98220,,
213526,21780,"Evansville, IN-KY",4,IN,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,149980,0,1000,1,,,24.09,50110,0.4,11.09,14.24,18.58,28.56,39.29,23070,29620,38640,59390,81730,,
213527,21820,"Fairbanks, AK",4,AK,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,34410,0.1,1000,1,,,30.51,63460,0.4,14.07,17.75,24.94,38.13,50.72,29270,36920,51880,79310,105500,,
213528,22020,"Fargo, ND-MN",4,ND,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,139770,0,1000,1,,,26.78,55700,0.8,13.5,16.72,22.35,30.96,42.89,28080,34770,46490,64410,89210,,
213529,22140,"Farmington, NM",4,NM,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,43460,0.1,1000,1,,,24.24,50420,0.6,11.5,13.51,18.47,28.86,40.69,23930,28090,38420,60020,84640,,
213530,22180,"Fayetteville, NC",4,NC,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,128880,0,1000,1,,,23.87,49660,0.4,10.45,13.24,18.42,27.89,43.5,21730,27540,38310,58010,90490,,
213531,22220,"Fayetteville-Springdale-Rogers, AR-MO",4,AR,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,255640,0,1000,1,,,25.87,53810,0.6,12.49,14.09,18.55,29.51,47.69,25980,29310,38580,61370,99190,,
